Season,Date,Team1,Team2,Venue,City,Toss(Won),Toss(Decision),BatFirst,BowlFirst,SuperOver,Winner,"WonBy(Runs,Wickets)","Won(Toss,Match)",POM
2021,2021-10-03,RCB,PK,Sharjah Cricket Stadium,Sharjah,RCB,bat,RCB,PK,N,RCB,6.0,Yes,GJ Maxwell
2021,2021-10-02,CSK,RR,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,RR,field,CSK,RR,N,RR,7.0,Yes,RD Gaikwad
2021,2021-10-02,MI,DC,Sharjah Cricket Stadium,Sharjah,DC,field,MI,DC,N,DC,4.0,Yes,AR Patel
2021,2021-10-01,KKR,PK,Dubai International Cricket Stadium,Dubai,PK,field,KKR,PK,N,PK,5.0,Yes,KL Rahul
2021,2021-09-30,SH,CSK,Sharjah Cricket Stadium,Sharjah,CSK,field,SH,CSK,N,CSK,6.0,Yes,JR Hazlewood
2021,2021-09-29,RR,RCB,Dubai International Cricket Stadium,Dubai,RCB,field,RR,RCB,N,RCB,7.0,Yes,YS Chahal
2021,2021-09-28,DC,KKR,Sharjah Cricket Stadium,Sharjah,KKR,field,DC,KKR,N,KKR,3.0,Yes,SP Narine
2021,2021-09-28,PK,MI,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,MI,field,PK,MI,N,MI,6.0,Yes,KA Pollard
2021,2021-09-27,RR,SH,Dubai International Cricket Stadium,Dubai,RR,bat,RR,SH,N,SH,7.0,No,JJ Roy
2021,2021-09-26,RCB,MI,Dubai International Cricket Stadium,Dubai,MI,field,RCB,MI,N,RCB,54.0,No,GJ Maxwell
2021,2021-09-26,KKR,CSK,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,KKR,bat,KKR,CSK,N,CSK,2.0,No,RA Jadeja
2021,2021-09-25,PK,SH,Sharjah Cricket Stadium,Sharjah,SH,field,PK,SH,N,PK,5.0,No,JO Holder
2021,2021-09-25,DC,RR,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,RR,field,DC,RR,N,DC,33.0,No,SS Iyer
2021,2021-09-24,RCB,CSK,Sharjah Cricket Stadium,Sharjah,CSK,field,RCB,CSK,N,CSK,6.0,Yes,DJ Bravo
2021,2021-09-23,MI,KKR,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,KKR,field,MI,KKR,N,KKR,7.0,Yes,SP Narine
2021,2021-09-22,SH,DC,Dubai International Cricket Stadium,Dubai,SH,bat,SH,DC,N,DC,8.0,No,A Nortje
2021,2021-09-21,RR,PK,Dubai International Cricket Stadium,Dubai,PK,field,RR,PK,N,RR,2.0,No,Kartik Tyagi
2021,2021-09-20,RCB,KKR,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,RCB,bat,RCB,KKR,N,KKR,9.0,No,CV Varun
2021,2021-09-19,CSK,MI,Dubai International Cricket Stadium,Dubai,CSK,bat,CSK,MI,N,CSK,20.0,Yes,RD Gaikwad
2021,2021-05-02,PK,DC,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,DC,field,PK,DC,N,DC,7.0,Yes,MA Agarwal
2021,2021-05-02,RR,SH,"Arun Jaitley Stadium, Delhi",Delhi,SH,field,RR,SH,N,RR,55.0,No,JC Buttler
